date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
19-Sept-08,0,16.8,0,11.7, , ,0,0,1019.5,0.1,0,0,0,10,0,0, , , , , , ,1063
20-Sept-08,0,17,0,10.4, , ,0,0,1021.1,0.1,0,0,0,10,0,0, , , , , , ,1525
21-Sept-08,0,17,0,9.6, , ,0,0.2,1019.4,0.1,0,0,0,0,0,0, , , , , , ,1340
22-Sept-08,0,16,0,10.6, , ,0,0,1021.4,0.1,0,0,0,0,0,0, , , , , , ,1572
23-Sept-08,0,14.5,0,8.1, , ,0,0,1021.2,0.1,0,0,0,10,0,0, , , , , , ,1468
24-Sept-08,0,15.3,0,8, , ,0,0,1022,0.1,0,0,0,350,0,0, , , , , , ,1370
25-Sept-08,0,16.3,0,9.5, , ,0,0.1,1025.5,0.1,0,0,0,0,0,0, , , , , , ,1203
26-Sept-08,0,16.5,0,9, , ,0,0.1,1026.7,0.1,0,0,0,0,0,0, , , , , , ,1053
27-Sept-08,0,16.4,0,6.1, , ,0,0.2,1023.6,0.1,0,0,0,0,0,0, , , , , , ,1401
28-Sept-08,0,12.5,0,7.5, , ,0,0.4,1020.2,0.1,0,0,0,0,0,0, , , , , , ,374
29-Sept-08,0,14.2,0,7.2, , ,0,0,1012.7,0.1,0,0,0,10,0,0, , , , , , ,704
30-Sept-08,0,14.1,0,11.6, , ,0,1.2,1000.2,0.1,0,0,0,10,0,0, , , , , , ,424
01-Oct-08,0,13.1,0,5.8, , ,0,0.4,995.5,0.1,0,0,0,10,0,0, , , , , , ,1200
02-Oct-08,0,11.4,0,4.7, , ,0,0.5,1002.1,0.1,0,0,0,0,0,0, , , , , , ,996
03-Oct-08,0,11.2,0,4.2, , ,0,0,1010.2,0.1,0,0,0,0,0,0, , , , , , ,1164
04-Oct-08,0,14,0,6.6, , ,0,14.4,999,0.1,0,0,0,0,0,0, , , , , , ,234
05-Oct-08,0,13.9,0,4.8, , ,0,19.4,993.1,0.1,0,0,0,0,0,0, , , , , , ,1266
06-Oct-08,0,14.7,0,5.1, , ,0,4.8,996,0.1,0,0,0,0,0,0, , , , , , ,452
07-Oct-08,0,14.2,0,8.1, , ,0,14.2,995.6,0.1,0,0,0,0,0,0, , , , , , ,310
08-Oct-08,0,15.7,0,5.8, , ,0,0.1,1011.1,0.1,0,0,0,10,0,0, , , , , , ,1145
09-Oct-08,0,14.4,0,9.8, , ,0,0.5,1016.8,0.1,0,0,0,0,0,0, , , , , , ,389
10-Oct-08,0,14.1,0,12.1, , ,0,12.8,1013.9,0.1,0,0,0,0,0,0, , , , , , ,141
11-Oct-08,0,15.6,0,9.2, , ,0,3,1014.9,0.1,0,0,0,10,0,0, , , , , , ,554
12-Oct-08,0,15.4,0,8.7, , ,0,0.3,1012.4,0.1,0,0,0,0,0,0, , , , , , ,759
13-Oct-08,0,15.9,0,11.2, , ,0,2,1009.1,0.1,0,0,0,10,0,0, , , , , , ,813
14-Oct-08,0,14.2,0,10.2, , ,0,36,1007.8,0.1,0,0,0,10,0,0, , , , , , ,129
15-Oct-08,0,13.2,0,7.3, , ,0,0.1,1006,0.1,0,0,0,10,0,0, , , , , , ,564
16-Oct-08,0,12.7,0,6.6, , ,0,0,1010.6,0.1,0,0,0,0,0,0, , , , , , ,904
17-Oct-08,0,12.2,0,5.1, , ,0,0,1012.2,0.1,0,0,0,0,0,0, , , , , , ,761
18-Oct-08,0,13.4,0,6.6, , ,0,0.1,1009.3,0.1,0,0,0,350,0,0, , , , , , ,665
19-Oct-08,0,13.9,0,11.4, , ,0,10.1,1001.3,0.1,0,0,0,350,0,0, , , , , , ,254
20-Oct-08,0,13.7,0,5.8, , ,0,1.2,994.2,0.1,0,0,0,350,0,0, , , , , , ,341
21-Oct-08,0,11.3,0,4.8, , ,0,0.3,1003.4,0.1,0,0,0,0,0,0, , , , , , ,915
22-Oct-08,0,12.8,0,4.6, , ,0,0,1010.9,0.1,0,0,0,350,0,0, , , , , , ,924
23-Oct-08,0,13.7,0,7.8, , ,0,16.5,1003.4,0.1,0,0,0,0,0,0, , , , , , ,102
24-Oct-08,0,11.6,0,5.3, , ,0,0.1,1013,0.1,0,0,0,0,0,0, , , , , , ,897
