date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
08-Sept-04,0,21.1,0,8.1, , ,0,0,1026.7,6.7,0,16,1, ,0,22, , , , , , ,1785
09-Sept-04,0,23.1,0,7.3, , ,0,0,1017.1,6.4,0,14,1, ,0,19, , , , , , ,1669
10-Sept-04,0,19.3,0,9.8, , ,0,1.5,1003.1,6.3,0,17,1, ,0,28, , , , , , ,382
11-Sept-04,0,16.1,0,9.5, , ,0,0.9,999.6,14.3,0,19,1, ,0,29, , , , , , ,1241
12-Sept-04,0,14.9,0,9.7, , ,0,10.6,995.4,13.2,0,20,1, ,0,31, , , , , , ,348
13-Sept-04,0,13.8,0,7.5, , ,0,17.6,981.9,14.6,0,26,1, ,0,43, , , , , , ,804
14-Sept-04,0,14.9,0,7.8, , ,0,1.7,993,14.3,0,25,0,350,0,37, , , , , , ,1383
15-Sept-04,0,15.9,0,4.7, , ,0,1.7,1014.1,6.9,0,15,1, ,0,21, , , , , , ,1259
16-Sept-04,0,15.7,0,10.6, , ,0,5.4,1006.8,13,0,22,1, ,0,34, , , , , , ,397
17-Sept-04,0,16.5,0,10.1, , ,0,1.3,998.7,12.4,0,20,1, ,0,30, , , , , , ,881
18-Sept-04,0,15.1,0,6.8, , ,0,2.1,999.2,11.2,0,20,1, ,0,30, , , , , , ,1379
19-Sept-04,0,14.1,0,7.6, , ,0,7.2,1000.9,13.2,0,22,1, ,0,33, , , , , , ,412
20-Sept-04,0,14.1,0,9.8, , ,0,1.9,1001,15.4,0,24,1, ,0,40, , , , , , ,873
21-Sept-04,0,14.8,0,9.3, , ,0,0,1012.3,12.7,0,19,0,260,0,29, , , , , , ,1037
22-Sept-04,0,15.9,0,12.7, , ,0,4.2,1012.3,13.5,0,18,0,260,0,27, , , , , , ,410
23-Sept-04,0,15.5,0,7.3, , ,0,2.6,1014.4,10.7,0,17,0,260,0,25, , , , , , ,1311
24-Sept-04,0,13.5,0,4.4, , ,0,0,1020.7,4.6,0,9,0,210,0,12, , , , , , ,843
25-Sept-04,0,18.1,0,11.8, , ,0,0.4,1017.8,8.9,0,15,0,280,0,20, , , , , , ,907
26-Sept-04,0,16,0,12.7, , ,0,0.2,1016.8,11.2,0,20,0,230,0,30, , , , , , ,477
27-Sept-04,0,16.2,0,13.4, , ,0,0,1015.8,8.6,0,12,0,220,0,19, , , , , , ,407
28-Sept-04,0,15.6,0,11.1, , ,0,0.2,1012.7,7.1,0,13,0,290,0,21, , , , , , ,676
29-Sept-04,0,16.4,0,11, , ,0,3.9,1008.3,6.7,0,12,0,230,0,17, , , , , , ,327
30-Sept-04,0,15.4,0,8.7, , ,0,0,1009.7,7,0,14,0,280,0,20, , , , , , ,1009
01-Oct-04,0,15.6,0,8.4, , ,0,2.3,1005.3,11.6,0,18,0,220,0,27, , , , , , ,722
02-Oct-04,0,14.1,0,7.8, , ,0,6.9,1001.8,12.4,0,23,0,230,0,31, , , , , , ,1050
03-Oct-04,0,11.4,0,8.1, , ,0,15.8,997.4,7.1,0,12,0,200,0,16, , , , , , ,266
04-Oct-04,0,13.2,0,4.9, , ,0,9.5,991.9,12,0,20,0,200,0,32, , , , , , ,951
05-Oct-04,0,13.5,0,8.7, , ,0,3,994.7,13.2,0,18,0,220,0,30, , , , , , ,971
06-Oct-04,0,11.9,0,7, , ,0,1,1004.2,11.4,0,19,0,280,0,29, , , , , , ,948
07-Oct-04,0,13.8,0,4.5, , ,0,0.1,1012,6.2,0,11,0,340,0,16, , , , , , ,885
08-Oct-04,0,13.7,0,3.1, , ,0,0,1017.9,5.9,0,11,0,20,0,17, , , , , , ,858
09-Oct-04,0,12.4,0,1.4, , ,0,0,1018,8.1,0,15,0,70,0,22, , , , , , ,757
10-Oct-04,0,12.1,0,7.7, , ,0,0,1014.1,8.7,0,15,0,60,0,21, , , , , , ,324
11-Oct-04,0,12.4,0,2.5, , ,0,0,1012.2,5.2,0,10,0,70,0,13, , , , , , ,380
12-Oct-04,0,12.7,0,0.8, , ,0,0,1004.7,3.6,0,9,0,130,0,12, , , , , , ,683
13-Oct-04,0,13.5,0,4.9, , ,0,2.7,994.8,4.6,0,9,0,80,0,13, , , , , , ,778
14-Oct-04,0,10.3,0,4.6, , ,0,4,992.9,7.5,0,15,0,290,0,32, , , , , , ,572
15-Oct-04,0,12,0,3.5, , ,0,0,994.7,6.2,0,11,0,310,0,17, , , , , , ,882
16-Oct-04,0,12.5,0,3.3, , ,0,0.2,998.8,8,0,16,0,10,0,21, , , , , , ,348
17-Oct-04,0,12.3,0,5.8, , ,0,1.6,1003.7,8.8,0,16,0,310,0,23, , , , , , ,648
18-Oct-04,0,12.2,0,4.4, , ,0,0.8,998.8,8.4,0,15,0,230,0,22, , , , , , ,901
19-Oct-04,0,7.8,0,-0.5, , ,0,3.6,992,6.8,0,15,0,230,0,19, , , , , , ,730
20-Oct-04,0,5.5,0,-2.2, , ,0,15.6,988.2,5.6,0,14,0,270,0,19, , , , , , ,170
21-Oct-04,0,10.1,0,-0.1, , ,0,2.9,987.5,8.5,0,24,0,240,0,37, , , , , , ,510
22-Oct-04,0,8.5,0,2, , ,0,7.2,991.9,4.7,0,12,0,10,0,19, , , , , , ,240
23-Oct-04,0,11.5,0,2.1, , ,0,3.2,991.4,5.9,0,11,0,350,0,15, , , , , , ,550
