date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
01-May-04,0,17.6,0,9.5, , ,0,0, ,9.1,0,17,0,0,0,21, , , , , , ,1989
02-May-04,0,15.1,0,8.4, , ,0,0, ,5.8,0,11,0,310,0,14, , , , , , ,1680
03-May-04,0,12.3,0,8.5, , ,0,0.4, ,15,0,30,0,240,0,39, , , , , , ,1905
04-May-04,0,10.5,0,6.2, , ,0,10.9, ,27.8,0,38,0,260,0,57, , , , , , ,1802
05-May-04,0,11,0,5.9, , ,0,1.8, ,17.4,0,25,0,290,0,36, , , , , , ,2416
06-May-04,0,11.9,0,6.6, , ,0,0, ,14.1,0,22,0,280,0,30, , , , , , ,2367
07-May-04,0,13.6,0,8, , ,0,0,1006.7,11.4,0,17,0,280,0,22, , , , , , ,2333
08-May-04,0,11.9,0,5.6, , ,0,1,1009,6,0,11,0,200,0,13, , , , , , ,1409
09-May-04,0,15.7,0,7.1, , ,0,0,1010.1,6.1,0,15,0,0,0,19, , , , , , ,2233
10-May-04,0,14.2,0,10.8, , ,0,0,1016,5.1,0,11,0,0,0,13, , , , , , ,944
11-May-04,0,13.6,0,11.2, , ,0,0,1021,6,0,13,0,240,0,15, , , , , , ,1758
12-May-04,0,13.8,0,10.6, , ,0,0,1023.2,5.6,0,12,0,260,0,15, , , , , , ,1331
13-May-04,0,13.3,0,10.7, , ,0,0,1022.8,7,0,13,0,240,0,16, , , , , , ,1017
14-May-04,0,13.8,0,10.5, , ,0,0.4,1024.8,6.5,0,11,0,270,0,14, , , , , , ,1641
15-May-04,0,13.6,0,10.5, , ,0,0,1027.9,5.7,0,12,0,190,0,14, , , , , , ,2291
16-May-04,0,15.2,0,10.3, , ,0,0,1026.9,4.1,0,7,0,100,0,10, , , , , , ,2548
17-May-04,0,15.6,0,8.5, , ,0,0,1025.2,6.4,0,14,0,240,0,16, , , , , , ,2728
18-May-04,0,14.3,0,7.6, , ,0,0,1024.7,7.9,0,15,0,240,0,18, , , , , , ,2895
19-May-04,0,14.7,0,11.6, , ,0,0,1024.2,9.4,0,16,0,240,0,18, , , , , , ,1928
20-May-04,0,15.1,0,8.7, , ,0,0,1023.2,8,0,19,0,0,0,24, , , , , , ,1096
21-May-04,0,14.1,0,5.3, , ,0,0,1025.1,8.9,0,17,0,10,0,21, , , , , , ,1509
22-May-04,0,15.2,0,5.5, , ,0,0,1027.6,9.8,0,17,0,90,0,21, , , , , , ,2767
