date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
14-Aug-03,0,19.2,0,9, , ,0,0,1020.2,6.7,0,13,0,60,0,17, , , , , , ,2432
15-Aug-03,0,19.3,0,11.2, , ,0,0,1018.7,6.5,0,12,0,280,0,15, , , , , , ,2284
16-Aug-03,0,19.4,0,11, , ,0,0,1015.6,5.7,0,10,0,200,0,13, , , , , , ,2084
17-Aug-03,0,17,0,14.4, , ,0,3.3,1008.3,16.9,0,26,0,180,0,34, , , , , , ,954
18-Aug-03,0,17.1,0,13.1, , ,0,0.2,1011.9,18.5,0,23,0,270,0,28, , , , , , ,1225
19-Aug-03,0,16.5,0,12.6, , ,0,0.5,1017.5,15.1,0,22,0,260,0,26, , , , , , ,1211
20-Aug-03,0,18,0,14.1, , ,0,0.9,1015.2,13.9,0,22,0,210,0,28, , , , , , ,1242
21-Aug-03,0,17.2,0,14.7, , ,0,0.4,1009,20.6,0,27,0,220,0,34, , , , , , ,446
22-Aug-03,0,17.6,0,14.5, , ,0,3.8,1012.2,9.9,0,16,0,250,0,19, , , , , , ,679
23-Aug-03,0,20.1,0,16.2, , ,0,1,1017.3,7,0,14,0,230,0,18, , , , , , ,982
24-Aug-03,0,26.1,0,16.9, , ,0,0,1017.6,12.8,0,20,0,90,0,26, , , , , , ,1648
25-Aug-03,0,21.3,0,14.7, , ,0,0.2,1016.2,14.8,0,21,0,100,0,28, , , , , , ,1074
26-Aug-03,0,19.8,0,13.9, , ,0,0,1014.6,14.4,0,21,0,80,0,28, , , , , , ,1144
27-Aug-03,0,21,0,12.9, , ,0,0,1012.7,12.5,0,19,0,60,0,24, , , , , , ,1919
28-Aug-03,0,17.5,0,10.1, , ,0,0,1009.8,10.3,0,15,0,20,0,21, , , , , , ,1331
29-Aug-03,0,18.1,0,11.4, , ,0,0.2,1015.2,9.9,0,21,0,330,0,26, , , , , , ,1931
30-Aug-03,0,17.4,0,10, , ,0,0.2,1020.4,9.1,0,16,0,310,0,23, , , , , , ,1741
31-Aug-03,0,17.1,0,11.1, , ,0,0,1022.8,8.8,0,19,0,350,0,23, , , , , , ,1137
01-Sept-03,4, ,4, , , ,8, , , ,0,12,0,290,0,15, , , , , , , 
02-Sept-03,0,18.2,0,12.5, , ,0,0,1026.5,6.6,0,12,0,280,0,14, , , , , , ,1726
03-Sept-03,0,18,0,13.4, , ,0,0.2,1026.2,5.3,0,11,0,220,0,14, , , , , , ,1357
04-Sept-03,0,17.8,0,14.8, , ,0,0.2,1019.5,13.5,0,17,0,210,0,22, , , , , , ,1168
05-Sept-03,0,17.5,0,11.7, , ,0,10.8,1012.8,10.2,0,23,0,170,0,31, , , , , , ,1196
06-Sept-03,0,16.9,0,11.8, , ,0,3.4,1012,13.2,0,19,0,180,0,27, , , , , , ,1766
07-Sept-03,0,16.1,0,9.9, , ,0,12.2,1007.3,11.3,0,19,0,190,0,24, , , , , , ,1256
08-Sept-03,0,16.4,0,9.3, , ,0,0.3,1010.8,10.9,0,22,0,320,0,29, , , , , , ,1667
09-Sept-03,0,16.1,0,11.9, , ,0,2.4,1010.2,17.1,0,25,0,280,0,32, , , , , , ,553
10-Sept-03,0,17.5,0,13.3, , ,0,1.9,1010.5,14.1,0,26,0,290,0,33, , , , , , ,900
11-Sept-03,0,16.9,0,14.1, , ,0,1.7,1017,19.4,0,30,0,270,0,37, , , , , , ,1461
12-Sept-03,4, ,4, , , ,8, , , ,0,20,0,150,0,27, , , , , , , 
07-Oct-03,0,14.2,0,11.4, , ,0,1.5,1011.7,18.2,0,34,0,280,0,40, , , , , , ,390
08-Oct-03,0,15.5,0,13.2, , ,0,0.4,1017.7,20.8,0,24,0,270,0,31, , , , , , ,692
09-Oct-03,0,15.3,0,12.1, , ,0,0.2,1014.8,20.4,0,26,0,240,0,39, , , , , , ,343
10-Oct-03,0,14.6,0,12.2, , ,0,0.5,1015.7,10.3,0,18,0,280,0,21, , , , , , ,841
11-Oct-03,0,15.5,0,13.3, , ,0,0.3,1016.8,11.1,0,18,0,150,0,22, , , , , , ,515
12-Oct-03,0,14.8,0,12.6, , ,0,0,1013.8,12.6,0,19,0,160,0,26, , , , , , ,194
13-Oct-03,0,17,0,10.8, , ,0,0.1,1013.6,9.9,0,15,0,140,0,20, , , , , , ,1029
14-Oct-03,0,17.2,0,12.9, , ,0,0,1017.3,12.8,0,18,0,120,0,24, , , , , , ,789
15-Oct-03,0,14.1,0,8.7, , ,0,0,1021.6,13.5,0,19,0,90,0,25, , , , , , ,384
16-Oct-03,0,13.7,0,7, , ,0,0,1022.3,12.7,0,17,0,110,0,22, , , , , , ,376
17-Oct-03,0,14.1,0,7.4, , ,0,0,1019.3,14.8,0,23,0,100,0,28, , , , , , ,1037
18-Oct-03,0,13.2,0,6.2, , ,0,0,1016.1,12.9,0,23,0,80,0,29, , , , , , ,793
19-Oct-03,0,10.8,0,6, , ,0,0,1014.7,11.9,0,18,0,50,0,23, , , , , , ,735
20-Oct-03,0,10.9,0,2.7, , ,0,0.9,1015.7,8.9,0,18,0,60,0,24, , , , , , ,932
21-Oct-03,0,9.7,0,3.3, , ,0,3.4,1012.2,8.4,0,15,0,350,0,24, , , , , , ,753
22-Oct-03,0,9.6,0,1.7, , ,0,0,1013.9,10.6,0,20,0,20,0,27, , , , , , ,970
23-Oct-03,0,11.5,0,2.8, , ,0,0,1021.4,7.9,0,15,0,60,0,19, , , , , , ,921
24-Oct-03,0,11.2,0,3.7, , ,0,0.1,1027.2,7.7,0,20,0,340,0,24, , , , , , ,842
25-Oct-03,0,11.6,0,4.4, , ,0,0.4,1023.9,10.7,0,26,0,310,0,33, , , , , , ,465
26-Oct-03,0,12,0,5.9, , ,0,0.8,1018.2,6.3,0,17,0,330,0,25, , , , , , ,718
27-Oct-03,0,13.3,0,6, , ,0,0.1,1017,7.1,0,14,0,240,0,17, , , , , , ,596
28-Oct-03,0,12.7,0,9.8, , ,0,0.9,1005.6,12.1,0,19,0,260,0,25, , , , , , ,399
01-Nov-03,0,12.9,0,3.6, , ,0,6.6,988.2,18,0,38,0,180,0,49, , , , , , ,150
02-Nov-03,0,11.9,0,8.7, , ,0,8.4,976.1,23.3,0,32,0,250,0,43, , , , , , ,515
03-Nov-03,0,12,0,8.8, , ,0,2.1,993.4,21.5,0,33,0,300,0,48, , , , , , ,540
04-Nov-03,0,14.6,0,10.9, , ,0,2.4,1005.2,26.1,0,35,0,180,0,45, , , , , , ,97
05-Nov-03,0,13.9,0,11.6, , ,0,7.6,1000.8,22.9,0,34,0,270,0,42, , , , , , ,71
06-Nov-03,0,14.9,0,9.6, , ,0,0,1011.3,17.9,0,27,0,120,0,36, , , , , , ,492
07-Nov-03,0,16,0,9, , ,0,0,1014.2,16.5,0,25,0,140,0,31, , , , , , ,192
08-Nov-03,0,10.4,0,7, , ,0,0,1010.2,20.5,0,27,0,110,0,36, , , , , , ,361
09-Nov-03,0,13.2,0,6.7, , ,0,10.6,1002,20.3,0,25,0,100,0,37, , , , , , ,351
10-Nov-03,0,12.2,0,10.1, , ,0,4.8,1009.4,15.3,0,24,0,150,0,30, , , , , , ,433
11-Nov-03,0,12.3,0,10.2, , ,0,13.6,1003.7,19.1,0,28,0,150,0,35, , , , , , ,77
12-Nov-03,0,11.7,0,8.8, , ,0,5.6,1008.3,18.9,0,26,0,190,0,36, , , , , , ,267
13-Nov-03,0,11.8,0,8.7, , ,0,10.5,994.5,17.6,0,28,0,80,0,39, , , , , , ,138
14-Nov-03,0,11.7,0,8.9, , ,0,4,992.9,30,0,47,0,300,0,60, , , , , , ,176
15-Nov-03,0,10.1,0,7.6, , ,0,2.2,1012.2,12.7,0,21,0,290,0,27, , , , , , ,298
16-Nov-03,0,12,0,5, , ,0,0.8,1014.9,10.3,0,24,0,210,0,30, , , , , , ,341
17-Nov-03,0,13,0,11.8, , ,0,1.2,1012.3,16.6,0,24,0,250,0,30, , , , , , ,134
18-Nov-03,0,13.1,0,12.2, , ,0,0.4,1010.6,23.1,0,31,0,220,0,41, , , , , , ,86
19-Nov-03,0,12.9,0,9.4, , ,0,3.2,1010.5,11.5,0,32,0,210,0,42, , , , , , ,147
20-Nov-03,0,11,0,7, , ,0,3.3,1005.5,16.1,0,26,0,230,0,32, , , , , , ,414
21-Nov-03,0,10.3,0,5.4, , ,0,2.1,1002.9,10.5,0,21,0,240,0,28, , , , , , ,315
22-Nov-03,0,10.3,0,5.5, , ,0,0.9,1000.5,11.1,0,29,0,240,0,35, , , , , , ,351
23-Nov-03,0,10.3,0,5.6, , ,0,0,1005.5,10.4,0,21,0,320,0,27, , , , , , ,445
24-Nov-03,0,12.1,0,5, , ,0,1.6,1001.9,19.2,0,30,0,210,0,37, , , , , , ,147
25-Nov-03,0,10.4,0,5.7, , ,0,7.5,987.7,18.7,0,30,0,270,0,40, , , , , , ,168
26-Nov-03,0,8.7,0,4.7, , ,0,0.7,984.3,17.4,0,31,0,270,0,37, , , , , , ,332
27-Nov-03,0,9.4,0,4.5, , ,0,0.3,996,15.8,0,28,0,300,0,38, , , , , , ,259
28-Nov-03,0,11.7,0,7.7, , ,0,10.4,996,18.3,0,27,0,200,0,33, , , , , , ,167
29-Nov-03,0,10.1,0,6.4, , ,0,11.3,990.2,16.4,0,27,0,260,0,39, , , , , , ,338
30-Nov-03,0,8.5,0,2.8, , ,0,2.1,996.1,12.1,0,28,0,230,0,39, , , , , , ,303
01-Dec-03,0,8.6,0,1.2, , ,0,0,1007.9,10.1,0,22,0,340,0,28, , , , , , ,450
02-Dec-03,0,9,0,6.2, , ,0,0,1015.9,8.6,0,17,0,340,0,22, , , , , , ,93
03-Dec-03,0,10.7,0,4.8, , ,0,0,1025.5,7.3,0,15,0,340,0,19, , , , , , ,355
04-Dec-03,0,10.5,0,3, , ,0,0,1032.3,2.9,0,7,0,150,0,9, , , , , , ,391
05-Dec-03,0,10.4,0,4.4, , ,0,0,1030.4,3.3,0,8,0,90,0,9, , , , , , ,318
06-Dec-03,4, ,4, , , ,8, , , ,0,18,0,80,0,25, , , , , , , 
10-Dec-03,0,10.7,0,9.4, , ,0,12.2,1002.9,15.2,0,22,0,200,0,27, , , , , , ,75
11-Dec-03,0,10.3,0,4.1, , ,0,0.5,1004.9,8.1,0,22,0,120,0,30, , , , , , ,246
12-Dec-03,0,11.7,0,5.5, , ,0,15.6,1005.4,16.4,0,20,0,170,0,26, , , , , , ,39
13-Dec-03,0,10.9,0,7.1, , ,0,0.8,1006.9,24.8,0,37,0,290,0,48, , , , , , ,189
14-Dec-03,0,9.8,0,5.3, , ,0,0,1020.4,16.7,0,32,0,290,0,46, , , , , , ,196
15-Dec-03,0,8.5,0,3.5, , ,0,0,1024.6,10.5,0,19,0,150,0,25, , , , , , ,220
16-Dec-03,0,10.8,0,8.3, , ,0,0.3,1017.2,13.9,0,19,0,140,0,25, , , , , , ,79
17-Dec-03,0,10.5,0,9.1, , ,0,0,1012.5,12.8,0,17,0,150,0,22, , , , , , ,231
18-Dec-03,0,10.7,0,9.1, , ,0,2,1010.7,10.4,0,15,0,230,0,19, , , , , , ,50
19-Dec-03,0,10,0,7.7, , ,0,1.7,1011.2,7.3,0,13,0,170,0,17, , , , , , ,92
20-Dec-03,0,9.9,0,4.3, , ,0,9.7,1004.2,22.1,0,39,0,310,0,53, , , , , , ,212
21-Dec-03,0,8.4,0,2.3, , ,0,3,1019.8,19.7,0,31,0,320,0,44, , , , , , ,247
22-Dec-03,0,9.9,0,1.1, , ,0,1.6,1030.1,12.9,0,25,0,270,0,32, , , , , , ,97
