date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
08-Oct-03,0,16.9,0,12.1, , ,0,0,1007.2,11.3,0,19,0,280,0,35, , , , , , ,723
09-Oct-03,0,16.2,0,10.3, , ,0,2.2,1005.2,10.7,0,17,0,240,0,30, , , , , , ,290
10-Oct-03,0,14.3,0,7.5, , ,0,0,1007.6,6.2,0,12,0,280,0,20, , , , , , ,504
11-Oct-03,0,15.1,0,8.3, , ,0,1.2,1011.2,3,0,7,0,190,0,11, , , , , , ,369
12-Oct-03,0,14.8,0,11.4, , ,0,0.2,1009.9,6.8,0,14,0,130,0,20, , , , , , ,375
13-Oct-03,0,14.6,0,10.8, , ,0,1.5,1009.2,5.4,0,9,0,130,0,14, , , , , , ,176
14-Oct-03,0,14.4,0,11.6, , ,0,0,1013.3,5.4,0,9,0,120,0,15, , , , , , ,473
15-Oct-03,0,13.5,0,3.6, , ,0,0,1017.3,5.6,0,11,0,90,0,19, , , , , , ,808
16-Oct-03,0,14,0,4.3, , ,0,0.2,1018.2,5.9,0,12,0,110,0,20, , , , , , ,1003
17-Oct-03,0,13,0,4.6, , ,0,0.3,1015,6,0,12,0,100,0,21, , , , , , ,1007
18-Oct-03,0,13,0,2.7, , ,0,0,1010.8,4.5,0,10,0,70,0,16, , , , , , ,824
19-Oct-03,0,9.1,0,1.7, , ,0,0,1008.2,5,0,11,0,70,0,19, , , , , , ,409
20-Oct-03,0,9.5,0,-1.2, , ,0,0.1,1007.2,3.5,0,8,0,310,0,14, , , , , , ,748
21-Oct-03,0,8.5,0,-1.7, , ,0,2.2,1003.7,5,0,11,0,30,0,19, , , , , , ,838
22-Oct-03,0,7.6,0,1, , ,0,1.1,1005.8,7.4,0,14,0,40,0,23, , , , , , ,458
23-Oct-03,0,10.7,0,-0.5, , ,0,0.4,1013.5,3.3,0,9,0,10,0,14, , , , , , ,814
24-Oct-03,0,10.3,0,-2, , ,0,0.3,1018.2,3.4,0,10,0,10,0,20, , , , , , ,716
25-Oct-03,0,9.9,0,-1.1, , ,0,0.5,1014.8,5.6,0,15,0,310,0,24, , , , , , ,416
26-Oct-03,0,10.9,0,0.9, , ,0,0.1,1011,2.4,0,5,0,310,0,7, , , , , , ,710
27-Oct-03,0,11.9,0,0.8, , ,0,0,1010,3.9,0,7,0,240,0,12, , , , , , ,482
28-Oct-03,0,11.1,0,5.8, , ,0,2.7,998.8,4.4,0,9,0,330,0,14, , , , , , ,163
29-Oct-03,0,8.5,0,1.2, , ,0,5.7,986.7,6.1,0,14,0,310,0,25, , , , , , ,441
30-Oct-03,0,8,0,-0.5, , ,0,1.7,973.9,7.5,0,14,0,90,0,25, , , , , , ,176
31-Oct-03,0,11,0,5, , ,0,0.1,977.5,10.4,0,16,0,50,0,31, , , , , , ,430
